n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
500,500,3,0.25,11540,0.05804829,0.004278908,1000,0.833333333,0.045241393,1,0,0.148767188,0.002649113,Diag
500,500,3,0.5,13700,0.068913481,0.005056323,760,0.633333333,0.053530338,1,0,0.162915973,0.002997609,Diag
500,500,3,0.75,17360,0.087323944,0.005841397,520,0.433333333,0.035043832,1,0,0.184296593,0.003281781,Diag
500,500,3,1,22460,0.112977867,0.006217537,400,0.333333333,0.024182542,1,0,0.210731386,0.003478271,Diag
500,500,3,1.25,29040,0.146076459,0.006841046,380,0.316666667,0.016666667,1,0,0.240559065,0.003604375,Diag
500,500,3,1.5,37160,0.186921529,0.006790244,360,0.3,0.022941573,1,0,0.272664384,0.003683173,Diag
500,500,3,1.75,47520,0.239034205,0.005890797,360,0.3,0.022941573,1,0,0.306328707,0.003732138,Diag
500,500,3,2,59180,0.297686117,0.005441169,340,0.283333333,0.027305934,1,0,0.341088624,0.003762567,Diag
500,500,3,2.25,72440,0.364386318,0.006862038,300,0.25,0.033113309,1,0,0.376639682,0.003781411,Diag
500,500,3,2.5,87040,0.437826962,0.006696239,180,0.15,0.038044296,1,0,0.412776808,0.003792916,Diag
