n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
500,500,3,0.25,0.8,4.02E-06,1.20E-07,1190.3,0.991916667,0.000176002,0.002,0.001197585,0.025324709,0.000132795,Diag
500,500,3,0.5,1.1,5.53E-06,2.26E-07,1017.15,0.847625,0.000703721,0.00275,0.002242678,0.032623554,0.00012242,Diag
500,500,3,0.75,1.75,8.80E-06,2.78E-07,774.85,0.645708333,0.000547933,0.004375,0.002767736,0.041598798,0.000127284,Diag
500,500,3,1,2,1.01E-05,2.87E-07,568.45,0.473708333,0.000607221,0.005,0.002856203,0.05135862,0.00013153,Diag
500,500,3,1.25,2.4,1.21E-05,3.11E-07,405.1,0.337583333,0.000631891,0.006,0.00309605,0.061525696,0.00013372,Diag
500,500,3,1.5,2.55,1.28E-05,3.25E-07,295.05,0.245875,0.000423804,0.006375,0.003231603,0.071938835,0.000134073,Diag
500,500,3,1.75,3.05,1.53E-05,3.37E-07,232.5,0.19375,0.000305835,0.007625,0.003351527,0.082520778,0.000134533,Diag
500,500,3,2,3.9,1.96E-05,3.89E-07,191.05,0.159208333,0.000215247,0.00975,0.003868309,0.093227591,0.000134699,Diag
500,500,3,2.25,4.9,2.46E-05,4.88E-07,165.1,0.137583333,0.000157184,0.012125,0.00483026,0.104028749,0.000134807,Diag
500,500,3,2.5,6.15,3.09E-05,5.81E-07,147.7,0.123083333,0.000128997,0.015375,0.005776185,0.114899178,0.000134883,Diag
