n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
500,500,3,0.25,289.4,0.001455734,3.79E-06,1119.35,0.932791667,0.000726636,0.505375,0.017505897,0.025324709,0.000132795,Diag
500,500,3,0.5,299.1,0.001504527,3.05E-06,809.25,0.674375,0.000853741,0.5175,0.016076503,0.032623554,0.00012242,Diag
500,500,3,0.75,318.8,0.001603622,3.22E-06,523.85,0.436541667,0.000714487,0.542625,0.017296253,0.041598798,0.000127284,Diag
500,500,3,1,341.6,0.00171831,3.51E-06,345.95,0.288291667,0.000677924,0.005,0.002856203,0.05135862,0.00013153,Diag
500,500,3,1.25,364.9,0.001835513,4.03E-06,238.45,0.198708333,0.00040946,0.591,0.019061362,0.061525696,0.00013372,Diag
500,500,3,1.5,390.05,0.001962022,4.52E-06,179.85,0.149875,0.000293576,0.618625,0.020471799,0.071938835,0.000134073,Diag
500,500,3,1.75,416.25,0.002093813,5.05E-06,144.7,0.120583333,0.000179625,0.642125,0.020726346,0.082520778,0.000134533,Diag
500,500,3,2,447.8,0.002252515,5.34E-06,127.35,0.106125,0.000119096,0.66775,0.021211575,0.093227591,0.000134699,Diag
500,500,3,2.25,477.75,0.002403169,5.47E-06,116.75,0.097291667,9.76E-05,0.687125,0.021037463,0.104028749,0.000134807,Diag
500,500,3,2.5,514.55,0.00258828,5.66E-06,108.25,0.090208333,8.63E-05,0.71375,0.020587985,0.114899178,0.000134883,Diag
