n,p,s,b,L1,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
500,500,3,0.25,0.49664655,0.8,4.02E-06,2.01E-07,1193.9,0.994916667,0.0001515,0.002,0.002,0.013848968,8.54E-06,Diag
500,500,3,0.5,0.525814681,1.1,5.53E-06,1.77E-07,1013.35,0.844458333,0.000705524,0.00275,0.001757503,0.02608801,0.000240756,Diag
500,500,3,0.75,0.553563821,1.75,8.80E-06,1.87E-07,771.2,0.642666667,0.000556129,0.004375,0.001857373,0.03459976,0.00038274,Diag
500,500,3,1,0.579105644,2.05,1.03E-05,2.16E-07,574.3,0.478583333,0.000555353,0.005125,0.002149625,0.040419297,0.000424658,Diag
500,500,3,1.25,0.605278128,2.45,1.23E-05,2.60E-07,434.6,0.362166667,0.000644083,0.006125,0.002587133,0.044933455,0.000463013,Diag
500,500,3,1.5,0.627824305,2.55,1.28E-05,2.52E-07,326.7,0.27225,0.000434025,0.006375,0.002509685,0.048341275,0.00050157,Diag
500,500,3,1.75,0.638860895,3.05,1.53E-05,2.77E-07,248.25,0.206875,0.000284609,0.007625,0.002753437,0.050367621,0.000527492,Diag
500,500,3,2,0.651474141,3.9,1.96E-05,3.19E-07,206.9,0.172416667,0.000204502,0.00975,0.003172144,0.05210767,0.000546515,Diag
500,500,3,2.25,0.663456724,4.9,2.46E-05,4.08E-07,183.9,0.15325,0.000155077,0.01225,0.004051072,0.053647842,0.000554688,Diag
500,500,3,2.5,0.672285996,6.15,3.09E-05,4.80E-07,165.2,0.137666667,0.000150584,0.015375,0.004768575,0.054894689,0.000560196,Diag
