n,p,s,b,L1,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
400,300,3,2.5,0.168875434,7923.2,0.083367003,4.29E-05,50.85,0.05296875,9.00E-05,1,0,0.041012302,0.000706711,Diag
400,300,3,2.5,0.168875434,7950.65,0.083655829,4.09E-05,46.6,0.048541667,0.000127656,1,0,0.041192405,0.000581391,Toep(0.10)
400,300,3,2.5,0.168875434,7923.15,0.083366477,5.65E-05,49.35,0.05140625,9.32E-05,1,0,0.041019163,0.000542346,Toep(0.50)
400,300,3,2.5,0.168875434,7803.9,0.082111742,6.37E-05,45.2,0.047083333,9.34E-05,1,0,0.040270912,0.000603457,Toep(0.70)
400,300,3,2.5,0.168875434,7157.6,0.075311448,0.000105034,44.4,0.04625,0.000115254,1,0,0.039187925,0.000927577,t
300,400,3,2.5,0.199857691822756,5444.9,0.0571463056255248,2.96370448991545e-05,60.15,0.0835416666666667,9.42899223966276e-05,1,0,0.0415962409640914,0.000532780956139583,Diag
300,400,3,2.5,0.199857691822756,5447,0.0571683459277918,3.00289677982322e-05,58.35,0.0810416666666667,0.000100669234593778,1,0,0.0419790921361171,0.000443566602791034,Toep(0.10)
300,400,3,2.5,0.199857691822756,5389.5,0.0565648614609572,3.41617387762074e-05,62.1,0.08625,0.000116301031753826,1,0,0.0411336219710236,0.000653627634147108,Toep(0.50)
300,400,3,2.5,0.199857691822756,5325.15,0.055889483627204,3.54138889822361e-05,60.8,0.0844444444444444,0.0001101014063857,1,0,0.0414207512771713,0.000745706115294856,Toep(0.70)
300,400,3,2.5,0.199857691822756,5066.55,0.0531753778337532,6.7691889790688e-05,56.15,0.0779861111111111,9.27975770710982e-05,1,0,0.0391037231412843,0.00104068411523303,t
