n,p,s,b,L1,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
500,500,3,0.25,0.157665571,9695.5,0.048770121,3.84E-05,813.65,0.678041667,0.001287821,1,0,0.016623553,0.000235254,Diag
500,500,3,0.5,0.157665571,10085.8,0.0507334,4.18E-05,410.4,0.342,0.000928263,1,0,0.02124652,0.000393185,Diag
500,500,3,0.75,0.157665571,10355.5,0.05209004,4.15E-05,216.2,0.180166667,0.000431846,1,0,0.023312485,0.000441653,Diag
500,500,3,1,0.157665571,10641.55,0.053528924,4.13E-05,138.5,0.115416667,0.000244204,1,0,0.024373088,0.000452555,Diag
500,500,3,1.25,0.157665571,10977.25,0.055217555,3.94E-05,108.55,0.090458333,0.000171409,1,0,0.025251553,0.000451339,Diag
500,500,3,1.5,0.157665571,11325.3,0.05696831,3.89E-05,90.9,0.07575,0.000144808,1,0,0.02615888,0.00044626,Diag
500,500,3,1.75,0.157665571,11724.55,0.05897661,3.77E-05,80.7,0.06725,0.000135559,1,0,0.027142382,0.000440597,Diag
500,500,3,2,0.157665571,12166.15,0.061197938,3.68E-05,73.05,0.060875,0.000129364,1,0,0.028206859,0.000434984,Diag
500,500,3,2.25,0.157665571,12627.7,0.063519618,3.51E-05,64.4,0.053666667,9.22E-05,1,0,0.029348083,0.000427788,Diag
500,500,3,2.5,0.157665571,13112.65,0.065959004,3.27E-05,58.9,0.049083333,7.36E-05,1,0,0.030562622,0.000419396,Diag
500,500,3,2.5,0.672285996,6.15,3.09E-05,4.80E-07,165.2,0.137666667,0.000150584,0.015375,0.004768575,0.054894689,0.000560196,Diag
500,500,3,0.25,0.49664655,0.8,4.02E-06,2.01E-07,1193.9,0.994916667,0.0001515,0.002,0.002,0.013848968,8.54E-06,Diag
500,500,3,0.5,0.525814681,1.1,5.53E-06,1.77E-07,1013.35,0.844458333,0.000705524,0.00275,0.001757503,0.02608801,0.000240756,Diag
500,500,3,1,0.579105644,2.05,1.03E-05,2.16E-07,574.3,0.478583333,0.000555353,0.005125,0.002149625,0.040419297,0.000424658,Diag
500,500,3,1.5,0.62782430517337,2.55,1.28269617706237e-05,2.52483419195146e-07,326.7,0.27225,0.00043402546783011,0.006375,0.00250968518679975,0.0483412745375011,0.00050156963062389,Diag
500,500,3,0.75,0.553563821060699,1.75,8.80281690140845e-06,1.86858479551861e-07,771.2,0.642666666666667,0.000556129455037435,0.004375,0.0018573732867455,0.0345997595422798,0.000382739929352936,Diag
