n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
400,300,3,2.5,4096,0.0430976430976431,0.00244999806052044,320,0.333333333333333,0,1,0,0.296992508087257,0.00245810163296608,Diag
400,300,3,2.5,4080,0.0429292929292929,0.00292994466627484,320,0.333333333333333,0,1,0,0.293430009850231,0.00170637345983574,Toep(0.10)
400,300,3,2.5,4288,0.0451178451178451,0.00281067572467224,320,0.333333333333333,0,1,0,0.299174128526393,0.00154295813402141,Toep(0.50)
400,300,3,2.5,4208,0.0442760942760943,0.00220214159071592,320,0.333333333333333,0,1,0,0.298493833961737,0.00194159254366306,Toep(0.70)
400,300,3,2.5,4080,0.0429292929292929,0.00216938401788494,320,0.333333333333333,0,1,0,0.291537774899445,0.00212136066668099,t
300,400,3,2.5,1884,0.0197732997481108,0.00122959452934617,264,0.366666666666667,0.0477566932940919,1,0,0.245304581297359,0.00192991384636966,Diag
300,400,3,2.5,1872,0.019647355163728,0.0014573412258954,276,0.383333333333333,0.05,1,0,0.244826680318683,0.00197893663215117,Toep(0.10)
300,400,3,2.5,1800,0.0188916876574307,0.000975562555719752,300,0.416666666666667,0.0476033808814566,1,0,0.246696831504648,0.00121040727732236,Toep(0.50)
300,400,3,2.5,1836,0.0192695214105793,0.00110061747321621,312,0.433333333333333,0.0425777582439003,1,0,0.248251996005721,0.00152091165338927,Toep(0.70)
300,400,3,2.5,1896,0.0198992443324937,0.0011686765955935,324,0.45,0.0437630515202331,1,0,0.245365777928263,0.00180852732360517,t
